,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE
1198,Anna Nagar,1823,2,1,5,1,House,ELO,Gravel,RL,13410030,24
1199,KK Nagar,1721,2,1,4,1,House,AllPub,Paved,RL,10199400,30
1200,T Nagar,1734,1,1,4,0,Commercial,NoSeWa,Paved,RL,18918950,45
1201,Chrompet,787,1,1,2,1,Commercial,ELO,Gravel,RM,11703450,31
1202,Chrompet,1265,2,1,4,0,House,ELO,Gravel,RL,9735200,24
1203,Velachery,1967,3,2,5,0,House,AllPub,Paved,RM,10826810,33
1204,Chrompet,1008,1,1,3,1,Commercial,NoSeWa,Paved,RH,12894500,10
1205,Chrompet,1120,1,1,3,1,Commercial,ELO,No Access,RM,13208750,37
1206,Anna Nagar,1952,2,1,5,1,Commercial,AllPub,No Access,RH,21026890,42
1207,Karapakkam,1100,1,1,3,0,Others,NoSeWa,Gravel,A,5438750,47
1208,Adyar,1098,1,1,3,1,House,AllPub,Gravel,RM,10556410,34
1209,KK Nagar,1470,2,1,4,0,House,NoSeWa,Gravel,RL,9163340,17
1210,Chrompet,970,1,1,3,1,House,ELO,No Access,RH,7463750,17
1211,KK Nagar,1432,2,1,4,1,Others,NoSeWa,Gravel,RM,11489580,27
1212,Karapakkam,790,1,1,2,0,Commercial,AllPub,Paved,A,6102500,18
1213,Chrompet,1149,1,1,3,0,Commercial,AllPub,Paved,RL,13734350,5
1214,Chrompet,762,1,1,2,0,House,NoSeWa,Paved,RL,7037100,26
1215,Chrompet,847,1,1,3,1,House,AllPub,Paved,RM,8931450,34
1216,Velachery,1954,3,2,5,1,House,AllPub,Gravel,C,10151490,27
1217,KK Nagar,2232,4,2,6,1,Others,NoSeWa,Gravel,RM,14074260,11
1218,Anna Nagar,1587,1,1,4,1,Commercial,AllPub,No Access,RH,17529450,40
1219,T Nagar,1891,2,1,5,1,Commercial,AllPub,Paved,RH,21327550,15
1220,KK Nagar,1916,3,2,5,0,Others,AllPub,Gravel,RH,10655980,23
1221,Velachery,1622,2,1,4,1,Others,NoSeWa,Paved,RL,10581870,21
1222,Velachery,1812,3,2,5,0,Commercial,AllPub,Paved,RH,15074740,7
1223,Adyar,1010,1,1,3,1,Others,NoSeWa,No Access,RM,9817500,20
1224,T Nagar,1526,1,1,4,1,Commercial,AllPub,No Access,RH,17673370,16
1225,Chrompet,775,1,1,2,0,House,NoSeWa,Gravel,RH,6603250,39
1226,Karapakkam,1239,1,1,3,1,Others,AllPub,No Access,A,5947625,14
1227,Anna Nagar,1538,1,1,4,0,House,NoSeWa,No Access,RH,9593040,37
1228,Anna Nagar,1853,2,1,5,0,Commercial,ELO,Paved,RM,20525170,36
1229,Velachery,1536,2,1,4,1,Commercial,ELO,No Access,RH,12946730,29
1230,KK Nagar,2241,4,2,6,1,House,AllPub,Paved,RM,12561300,25
1231,Velachery,1709,2,1,4,1,House,NoSeWa,Paved,C,8133770,36
1232,Chrompet,1282,2,1,4,0,Commercial,NoSeWa,Gravel,RM,15195200,8
1233,Karapakkam,1319,1,1,3,0,House,NoSeWa,No Access,C,4746500,40
1234,Adyar,994,1,1,3,1,House,NoSeWa,Gravel,RM,10381895,33
1235,Chrompet,782,1,1,2,0,Others,AllPub,Paved,RL,7344340,32
1236,KK Nagar,2235,4,2,6,0,Commercial,NoSeWa,Paved,RM,18201340,17
1237,Adyar,650,1,1,2,1,House,NoSeWa,Paved,RM,9080015,21
1238,Anna Nagar,1677,1,1,4,0,House,AllPub,Paved,RH,10617090,42
1239,Adyar,684,1,1,2,0,Others,NoSeWa,Paved,A,4575925,35
1240,Chrompet,1128,1,1,3,1,House,AllPub,No Access,RM,9805150,9
1241,KK Nagar,1360,2,1,4,1,Commercial,NoSeWa,Paved,RH,12623360,18
1242,Chrompet,895,1,1,3,1,Others,NoSeWa,Gravel,RL,9533400,23
1243,Chrompet,1227,2,1,4,1,Others,ELO,Paved,RL,10499240,31
1244,T Nagar,1720,1,1,4,0,House,NoSeWa,Paved,RH,11440690,7
1245,Karapakkam,1003,1,1,3,0,House,ELO,Paved,RL,7064250,13
1246,KK Nagar,2114,3,2,5,0,Commercial,NoSeWa,Gravel,RL,16929800,20
1247,Chrompet,973,1,1,3,1,House,NoSeWa,Paved,RH,8457350,29
1248,Velachery,1655,2,1,4,1,House,NoSeWa,Paved,C,8725740,32
1249,Adyar,910,1,1,3,0,House,NoSeWa,Gravel,C,6513570,38
1250,Adyar,840,1,1,3,1,House,NoSeWa,No Access,RM,8572425,35
1251,KK Nagar,1835,3,2,5,0,Commercial,NoSeWa,Paved,RM,15493260,13
1252,Chrompet,1001,1,1,3,0,Others,AllPub,Gravel,RL,9724320,13
1253,Anna Nagar,1646,1,1,4,1,Commercial,AllPub,Paved,RM,20519100,10
1254,Chrompet,907,1,1,3,0,Others,ELO,Gravel,RL,8947040,27
1255,Adyar,809,1,1,3,1,Others,ELO,Paved,RL,9043635,9
1256,Chrompet,1278,2,1,4,0,Commercial,AllPub,Gravel,RL,14597300,26
1257,Chrompet,1051,1,1,3,0,Others,NoSeWa,Gravel,RL,9310120,19
1258,Adyar,1054,1,1,3,0,Others,NoSeWa,No Access,I,7740080,12
1259,Karapakkam,971,1,1,3,1,Commercial,AllPub,Paved,C,8878250,11
1260,KK Nagar,1956,3,2,5,0,Commercial,AllPub,Gravel,RM,16677180,29
1261,Anna Nagar,1921,2,1,5,1,Others,NoSeWa,No Access,RL,14301080,40
1262,Karapakkam,947,1,1,3,1,Others,NoSeWa,Gravel,A,5523875,47
1263,Velachery,1514,2,1,4,1,Others,AllPub,No Access,C,7932350,40
1264,Karapakkam,1125,1,1,3,0,Commercial,ELO,No Access,RH,8072750,41
1265,Karapakkam,1394,2,2,4,1,House,AllPub,No Access,I,6962250,43
1266,Karapakkam,1609,2,2,4,0,Commercial,AllPub,Paved,RM,12977000,20
1267,T Nagar,1916,2,1,5,0,House,ELO,Gravel,RL,13174940,7
1268,Chrompet,1015,1,1,3,0,House,NoSeWa,No Access,RL,7742000,8
1269,Chrompet,835,1,1,3,0,Others,NoSeWa,Paved,RH,6996450,30
1270,Anna Nagar,1617,1,1,4,0,House,AllPub,No Access,RM,11367820,36
1271,T Nagar,1901,2,1,5,0,House,NoSeWa,Gravel,RM,14001530,19
1272,Anna Nagar,1548,1,1,4,1,Commercial,ELO,Paved,RM,18598580,39
1273,Anna Nagar,1660,1,1,4,1,House,NoSeWa,No Access,RL,11618510,33
1274,Karapakkam,890,1,1,3,1,Others,ELO,Gravel,C,6715750,16
1275,Chrompet,956,1,1,3,1,Commercial,AllPub,Paved,RH,11844950,29
1276,Velachery,1841,3,2,5,1,House,AllPub,Gravel,RL,11492190,47
1277,Chrompet,1280,2,1,4,0,Commercial,NoSeWa,No Access,RM,14153850,7
1278,Anna Nagar,1636,1,1,4,1,Others,NoSeWa,No Access,RM,13483830,20
1279,KK Nagar,2204,3,2,5,1,Others,NoSeWa,Paved,RH,12257060,9
1280,Karapakkam,1203,1,1,3,1,Others,AllPub,No Access,A,6016875,11
1281,Chrompet,1122,1,1,3,0,House,ELO,Paved,RH,8015800,24
1282,Anna Nagar,1574,1,1,4,0,House,ELO,Gravel,RL,11003670,31
1283,KK Nagar,1374,2,1,4,0,House,AllPub,Gravel,RM,9741520,16
1284,Velachery,1746,2,1,4,1,Commercial,ELO,Paved,C,13626420,36
1285,Karapakkam,1370,2,2,4,1,House,ELO,Gravel,I,7633500,30
1286,Karapakkam,1362,2,2,4,0,House,NoSeWa,Gravel,C,5878000,48
1287,Anna Nagar,1897,2,1,5,0,Commercial,NoSeWa,Gravel,RH,20738440,17
1288,Chrompet,1020,1,1,3,0,House,NoSeWa,Paved,RL,8000250,35
1289,Chrompet,897,1,1,3,1,House,AllPub,No Access,RM,8897050,35
1290,Adyar,1023,1,1,3,0,Commercial,AllPub,Gravel,I,12114895,13
1291,Karapakkam,1344,2,2,4,1,Others,NoSeWa,Paved,RM,9341250,39
1292,Anna Nagar,1689,1,1,4,1,Commercial,NoSeWa,Gravel,RL,20514620,31
1293,Velachery,1764,2,1,4,0,Commercial,AllPub,No Access,RM,14687760,53
1294,KK Nagar,1820,3,2,5,1,House,AllPub,Paved,RL,11095100,5
1295,Chrompet,987,1,1,3,1,House,AllPub,Gravel,RM,10646600,4
1296,T Nagar,1688,1,1,4,1,House,NoSeWa,No Access,RM,12872810,8
1297,Anna Nagar,1908,2,1,5,0,House,AllPub,No Access,RH,12114050,20
1298,Chrompet,1078,1,1,3,1,House,NoSeWa,Paved,RL,9348350,37
1299,Karapakkam,1637,2,2,4,1,House,ELO,Paved,RM,9407500,44
1300,Adyar,1019,1,1,3,1,House,NoSeWa,Paved,RH,8963715,21
1301,Chrompet,1198,1,1,3,1,Commercial,ELO,No Access,RL,13163050,30
1302,Chrompet,1002,1,1,3,1,Commercial,NoSeWa,Gravel,RH,12654700,26
1303,Karapakkam,1088,1,1,3,0,Commercial,ELO,Gravel,I,8482500,38
1304,Anna Nagar,1703,1,1,4,1,Commercial,AllPub,Gravel,RM,20989850,40
1305,Chrompet,946,1,1,3,1,House,NoSeWa,Paved,RH,8275800,16
1306,Velachery,1983,3,2,5,0,Commercial,ELO,Paved,A,13291100,40
1307,Karapakkam,1112,1,1,3,0,Commercial,NoSeWa,Paved,RM,9928250,47
1308,Adyar,700,1,1,2,1,House,NoSeWa,Paved,RH,7609525,15
1309,Anna Nagar,1956,2,1,5,1,Others,AllPub,No Access,RL,15178120,7
1310,KK Nagar,1666,2,1,4,0,Others,NoSeWa,Paved,RL,10105060,27
1311,Velachery,1959,3,2,5,0,House,AllPub,Paved,RM,10225280,48
1312,Chrompet,1276,2,1,4,1,Others,NoSeWa,No Access,RL,10309370,15
1313,Chrompet,1079,1,1,3,1,House,ELO,Paved,RH,8463200,16
1314,KK Nagar,2357,4,2,6,1,Others,AllPub,Gravel,RH,12871060,26
1315,Anna Nagar,1988,2,1,5,0,Others,NoSeWa,Gravel,RL,14774770,19
1316,Karapakkam,1257,1,1,3,1,Others,AllPub,Paved,RH,8172125,23
1317,Velachery,1827,3,2,5,0,Commercial,ELO,Paved,RH,14818680,29
1318,T Nagar,1661,1,1,4,1,Commercial,NoSeWa,Paved,RM,20450950,15
1319,Karapakkam,939,1,1,3,0,Commercial,ELO,Paved,RM,9149000,28
1320,Velachery,1607,2,1,4,1,Commercial,NoSeWa,No Access,A,12499040,7
1321,KK Nagar,1829,3,2,5,0,Others,AllPub,Paved,RH,10272980,30
1322,Chrompet,806,1,1,3,0,House,NoSeWa,Gravel,RM,8636400,12
1323,Chrompet,784,1,1,2,0,House,AllPub,Paved,RL,7499900,26
1324,Velachery,1540,2,1,4,1,Commercial,AllPub,Gravel,A,12647660,18
1325,Anna Nagar,1794,1,1,4,0,Commercial,NoSeWa,Paved,RM,20838230,14
1326,KK Nagar,1875,3,2,5,0,House,AllPub,Paved,RH,9329120,6
1327,KK Nagar,1494,2,1,4,0,House,NoSeWa,Gravel,RL,9120360,8
1328,T Nagar,1921,2,1,5,1,Commercial,NoSeWa,Paved,RH,21050860,28
1329,Adyar,603,1,1,2,0,House,NoSeWa,Gravel,I,6185335,9
1330,KK Nagar,1479,2,1,4,0,Others,AllPub,Paved,RH,8400920,27
1331,Anna Nagar,1574,1,1,4,0,House,NoSeWa,Gravel,RM,11855940,32
1332,Chrompet,730,1,1,2,1,Others,ELO,Paved,RM,8972600,18
1333,KK Nagar,2450,4,2,6,0,House,NoSeWa,Gravel,RM,12506600,30
1334,KK Nagar,1379,2,1,4,0,Others,NoSeWa,Gravel,RM,10209760,19
1335,T Nagar,1621,1,1,4,0,Others,AllPub,Paved,RM,12899530,45
1336,Karapakkam,617,1,1,2,0,Others,NoSeWa,No Access,A,2476375,26
1337,Karapakkam,508,1,1,2,1,House,NoSeWa,Gravel,I,5679000,16
1338,Karapakkam,1485,2,2,4,1,House,ELO,No Access,RL,8020500,32
1339,Karapakkam,804,1,1,2,0,Commercial,NoSeWa,No Access,RM,8396250,7
1340,Chrompet,917,1,1,3,0,House,ELO,No Access,RL,7110600,8
1341,Anna Nagar,1729,1,1,4,0,Others,NoSeWa,Gravel,RM,14158860,37
1342,Chrompet,1102,1,1,3,1,Commercial,NoSeWa,Gravel,RM,14510950,29
1343,Velachery,1826,3,2,5,1,Commercial,NoSeWa,Paved,RL,16595470,31
1344,Velachery,1864,3,2,5,1,Commercial,NoSeWa,Gravel,RH,15913570,51
1345,Velachery,1776,2,1,4,0,Others,AllPub,Paved,RM,10423510,48
1346,Chrompet,1091,1,1,3,0,Commercial,ELO,No Access,RM,12690600,8
1347,Adyar,712,1,1,2,1,Commercial,NoSeWa,Paved,RH,10606765,11
1348,Chrompet,795,1,1,2,1,Commercial,NoSeWa,Gravel,RM,12313350,17
1349,Chrompet,922,1,1,3,1,Commercial,NoSeWa,Paved,RM,13289900,22
1350,Karapakkam,1473,2,2,4,1,House,NoSeWa,Paved,RH,8352000,10
1351,Karapakkam,1699,2,2,4,1,Commercial,ELO,No Access,C,11423750,9
1352,Chrompet,1026,1,1,3,0,Others,ELO,Gravel,RM,10120070,19
1353,Anna Nagar,1570,1,1,4,0,Others,NoSeWa,No Access,RH,10738110,33
1354,KK Nagar,1479,2,1,4,0,House,AllPub,Gravel,RH,8495640,22
1355,KK Nagar,2380,4,2,6,0,Others,NoSeWa,Gravel,RH,12341040,22
1356,Chrompet,704,1,1,2,0,House,AllPub,Gravel,RH,6248450,39
1357,KK Nagar,1325,1,1,3,1,House,NoSeWa,Paved,RH,8477500,25
1358,Velachery,1558,2,1,4,0,Commercial,AllPub,Paved,RH,12564350,55
1359,Chrompet,1133,1,1,3,1,Others,AllPub,No Access,RH,9304960,5
1360,KK Nagar,1866,3,2,5,0,House,AllPub,Gravel,RL,10822220,21
1361,Adyar,936,1,1,3,1,Others,ELO,Paved,RH,9038260,24
1362,Velachery,1657,2,1,4,0,Commercial,AllPub,No Access,A,10849950,50
1363,Chrompet,904,1,1,3,0,Others,AllPub,No Access,RM,8452080,12
1364,Chrompet,924,1,1,3,1,Commercial,ELO,Gravel,RM,13485100,30
1365,KK Nagar,2031,3,2,5,1,Others,NoSeWa,Paved,RH,11878140,16
1366,Velachery,1945,3,2,5,1,House,ELO,Gravel,RH,10961920,16
1367,Chrompet,1297,2,1,4,0,House,NoSeWa,Gravel,RM,10088450,39
1368,KK Nagar,2179,3,2,5,1,Commercial,AllPub,Paved,RL,17858980,29
1369,Chrompet,996,1,1,3,1,House,ELO,Gravel,RL,9135400,28
1370,Chrompet,969,1,1,3,0,Others,NoSeWa,Paved,RM,8646380,39
1371,Velachery,1506,2,1,4,0,Others,NoSeWa,Gravel,C,8576110,23
1372,Chrompet,1095,1,1,3,0,House,AllPub,Gravel,RH,8367250,19
1373,KK Nagar,1329,1,1,3,1,Others,AllPub,Paved,RL,9840760,19
1374,Karapakkam,1130,1,1,3,1,Others,NoSeWa,Gravel,RH,8461500,5
1375,Karapakkam,1299,1,1,3,0,Commercial,AllPub,Paved,RL,10651250,35
1376,Karapakkam,514,1,1,2,0,House,AllPub,No Access,C,3093500,38
1377,KK Nagar,1738,2,1,4,0,House,AllPub,Gravel,RL,10646500,5
1378,T Nagar,1782,1,1,4,0,House,NoSeWa,Gravel,RH,12105050,20
1379,Karapakkam,749,1,1,2,1,House,NoSeWa,No Access,RH,5325000,46
1380,Chrompet,1267,2,1,4,1,House,NoSeWa,No Access,RL,9396600,24
1381,Karapakkam,694,1,1,2,0,Commercial,NoSeWa,Gravel,I,6936250,35
1382,Adyar,1175,1,1,3,1,Others,ELO,Paved,RL,10732635,29
1383,Anna Nagar,1846,2,1,5,0,Commercial,NoSeWa,Paved,RL,20244990,42
1384,KK Nagar,1428,2,1,4,1,Commercial,NoSeWa,Paved,RH,12964940,7
1385,Adyar,824,1,1,3,1,Others,AllPub,Paved,I,7881135,29
1386,Velachery,1637,2,1,4,1,Commercial,NoSeWa,Gravel,C,13460460,38
1387,KK Nagar,2189,3,2,5,1,Others,AllPub,Gravel,RL,13791820,12
1388,Adyar,1128,1,1,3,1,House,AllPub,No Access,RM,9662810,34
1389,Karapakkam,1213,1,1,3,0,House,NoSeWa,Paved,RL,6918250,33
1390,Velachery,1984,3,2,5,1,Commercial,NoSeWa,Gravel,C,15679400,35
1391,Adyar,680,1,1,2,1,Commercial,ELO,Paved,A,8588630,22
1392,Velachery,1508,2,1,4,0,House,ELO,Paved,I,6890790,47
1393,Anna Nagar,2000,2,1,5,0,Commercial,ELO,Paved,RL,20926890,42
1394,Anna Nagar,1538,1,1,4,1,Commercial,AllPub,Gravel,RM,19964360,13
1395,T Nagar,1723,1,1,4,1,House,NoSeWa,No Access,RL,12565070,36
1396,Chrompet,1161,1,1,3,1,Others,ELO,Paved,RM,10586920,33
1397,Velachery,1676,2,1,4,1,Others,AllPub,Gravel,A,9089160,28
1398,T Nagar,1749,1,1,4,0,House,NoSeWa,Paved,RH,11351890,17
1399,KK Nagar,2199,3,2,5,1,House,NoSeWa,Gravel,RM,12761560,18
1400,Chrompet,1101,1,1,3,0,House,ELO,Gravel,RM,8982400,40
1401,Adyar,1240,2,2,4,1,Others,NoSeWa,Paved,RH,10636820,8
1402,Adyar,1266,2,2,4,0,Others,NoSeWa,Gravel,A,8122870,38
1403,Chrompet,1021,1,1,3,1,Others,NoSeWa,Paved,RH,9315520,9
1404,Velachery,1713,2,1,4,1,House,NoSeWa,Paved,A,7897470,36
1405,Velachery,1563,2,1,4,0,House,AllPub,No Access,A,5613270,36
1406,Chrompet,889,1,1,3,0,Commercial,NoSeWa,Gravel,RM,12146250,15
1407,Velachery,1925,3,2,5,1,Others,NoSeWa,Gravel,C,11055190,27
1408,KK Nagar,1791,3,2,5,0,House,NoSeWa,Gravel,RL,10434260,23
1409,Chrompet,910,1,1,3,1,House,NoSeWa,Paved,RM,9186250,23
1410,KK Nagar,2450,4,2,6,0,House,NoSeWa,Gravel,RH,11638240,12
1411,KK Nagar,1763,2,1,4,1,Others,AllPub,Paved,RH,10388400,27
1412,Chrompet,1170,1,1,3,0,Commercial,AllPub,Paved,RH,12448500,38
1413,Adyar,1294,2,2,4,1,House,NoSeWa,Gravel,RH,10383300,20
1414,KK Nagar,1386,2,1,4,1,Commercial,NoSeWa,Paved,RM,13800700,5
1415,Karapakkam,1506,2,2,4,1,House,ELO,No Access,C,6450250,35
1416,Anna Nagar,1830,2,1,5,0,Commercial,NoSeWa,Gravel,RM,20787310,43
1417,Chrompet,744,1,1,2,1,House,ELO,No Access,RH,6481200,28
1418,Chrompet,1298,2,1,4,1,House,NoSeWa,No Access,RL,9719400,4
1419,Anna Nagar,1615,1,1,4,0,House,ELO,No Access,RH,9845950,30
1420,KK Nagar,1964,3,2,5,0,House,NoSeWa,Paved,RL,10084580,19
1421,Chrompet,812,1,1,3,0,House,AllPub,No Access,RL,7226100,10
1422,Adyar,1270,2,2,4,1,Commercial,NoSeWa,Paved,C,14569565,11
1423,Karapakkam,1045,1,1,3,0,House,NoSeWa,No Access,A,3574750,35
1424,Chrompet,1093,1,1,3,0,House,NoSeWa,No Access,RM,8750400,12
1425,Chrompet,934,1,1,3,0,Others,NoSeWa,No Access,RH,7151680,14
1426,Velachery,1617,2,1,4,0,House,NoSeWa,No Access,RM,8528890,42
1427,Velachery,1994,3,2,5,0,House,NoSeWa,No Access,I,8376880,29
1428,Velachery,1759,2,1,4,1,House,NoSeWa,Gravel,RM,11978830,29
1429,KK Nagar,1968,3,2,5,1,Others,NoSeWa,Gravel,RM,13053180,11
1430,Karapakkam,785,1,1,2,0,Others,NoSeWa,No Access,I,4146875,32
1431,Velachery,1956,3,2,5,0,Others,NoSeWa,Paved,C,9566290,17
1432,Karapakkam,1042,1,1,3,0,Others,NoSeWa,Gravel,C,5998500,5
1433,Anna Nagar,1566,1,1,4,0,Others,NoSeWa,No Access,RL,11470100,26
1434,KK Nagar,1380,2,1,4,0,Commercial,AllPub,Gravel,RH,12076560,28
1435,Karapakkam,1047,1,1,3,1,House,AllPub,Gravel,I,6794000,50
1436,Chrompet,975,1,1,3,0,House,NoSeWa,Paved,RL,8074850,11
1437,Chrompet,1036,1,1,3,0,House,NoSeWa,No Access,RM,8313550,17
1438,Anna Nagar,1960,2,1,5,0,Others,NoSeWa,Paved,RH,12976220,36
1439,KK Nagar,2438,4,2,6,0,House,NoSeWa,Paved,RL,11871500,5
1440,T Nagar,1752,1,1,4,0,Others,NoSeWa,No Access,RH,11987190,24
1441,Chrompet,1272,2,1,4,0,Others,ELO,Paved,RH,9065140,26
1442,Adyar,784,1,1,2,0,House,NoSeWa,Gravel,RM,9044045,23
1443,KK Nagar,2461,4,2,6,0,Others,NoSeWa,Gravel,RL,12712980,28
1444,Chrompet,911,1,1,3,0,Commercial,AllPub,Paved,RM,11507600,28
1445,KK Nagar,2330,4,2,6,1,Commercial,NoSeWa,Gravel,RM,19768320,16
1446,Velachery,1673,2,1,4,0,House,ELO,No Access,RL,8483250,44
1447,Chrompet,1171,1,1,3,0,Commercial,AllPub,No Access,RM,14035050,7
1448,Velachery,1966,3,2,5,0,House,NoSeWa,Gravel,C,9343170,6
1449,Karapakkam,850,1,1,2,1,Commercial,AllPub,Gravel,A,7039250,47
1450,Anna Nagar,1622,1,1,4,0,House,NoSeWa,Gravel,RH,11308830,24
1451,Velachery,1938,3,2,5,0,House,AllPub,Gravel,RM,11554330,34
1452,Anna Nagar,1867,2,1,5,1,House,NoSeWa,Paved,RL,13507780,24
1453,Adyar,791,1,1,2,1,Others,NoSeWa,No Access,A,6387040,16
1454,Anna Nagar,1958,2,1,5,0,Commercial,NoSeWa,No Access,RH,19801690,22
1455,Anna Nagar,1601,1,1,4,0,Others,NoSeWa,Gravel,RL,12646540,38
1456,Karapakkam,1617,2,2,4,1,Commercial,NoSeWa,Gravel,RM,14486250,35
1457,Chrompet,1015,1,1,3,0,Commercial,NoSeWa,Paved,RL,11677750,37
1458,T Nagar,1572,1,1,4,1,House,ELO,Gravel,RL,12274630,29
1459,T Nagar,1924,2,1,5,0,Others,AllPub,Paved,RL,13780460,32
1460,T Nagar,1848,2,1,5,0,Others,ELO,Paved,RM,14772160,16
1461,Chrompet,1238,2,1,4,1,House,NoSeWa,Gravel,RH,10064150,5
1462,T Nagar,1556,1,1,4,1,House,NoSeWa,No Access,RM,12215170,26
1463,Anna Nagar,1543,1,1,4,1,Commercial,NoSeWa,No Access,RL,18080410,13
1464,Anna Nagar,1534,1,1,4,0,Commercial,NoSeWa,Paved,RL,17311570,26
1465,KK Nagar,1635,2,1,4,0,House,NoSeWa,Paved,RL,8908220,11
1466,KK Nagar,1450,2,1,4,1,Others,NoSeWa,Gravel,RL,10613220,11
1467,Chrompet,1117,1,1,3,0,Others,AllPub,Paved,RH,8282640,37
1468,Chrompet,953,1,1,3,1,House,NoSeWa,No Access,RL,8050150,21
1469,Chrompet,742,1,1,2,1,House,NoSeWa,No Access,RL,7439700,14
1470,Karapakkam,820,1,1,2,1,House,ELO,No Access,I,5435750,5
1471,Anna Nagar,1895,2,1,5,1,House,NoSeWa,Gravel,RL,13770420,31
1472,Anna Nagar,1717,1,1,4,1,Commercial,NoSeWa,Paved,RM,20330350,30
1473,Chrompet,790,1,1,2,1,Others,NoSeWa,Gravel,RH,8664000,34
1474,Velachery,1885,3,2,5,1,Commercial,NoSeWa,Paved,RL,16410600,55
1475,Velachery,1749,2,1,4,1,Others,AllPub,Paved,RM,12403030,9
1476,Karapakkam,734,1,1,2,0,House,NoSeWa,Gravel,RL,6702250,19
1477,Karapakkam,1624,2,2,4,0,House,NoSeWa,No Access,A,5383250,23
1478,Adyar,953,1,1,3,1,Others,NoSeWa,Paved,I,8233645,23
1479,Chrompet,967,1,1,3,1,Others,ELO,Paved,RH,8249290,34
1480,Chrompet,961,1,1,3,0,House,NoSeWa,Gravel,RL,8720250,19
1481,Karapakkam,1034,1,1,3,1,Others,NoSeWa,No Access,I,6117000,27
1482,Velachery,1940,3,2,5,0,House,ELO,Paved,RM,10771580,9
1483,Chrompet,753,1,1,2,0,Commercial,ELO,Gravel,RH,9264900,38
1484,Karapakkam,755,1,1,2,0,Commercial,NoSeWa,Paved,I,6789000,28
1485,Anna Nagar,1971,2,1,5,0,Commercial,ELO,No Access,RM,21266520,41
1486,Chrompet,1026,1,1,3,1,Commercial,AllPub,Paved,RH,12798800,32
1487,Karapakkam,1375,2,2,4,0,Others,NoSeWa,Paved,A,5643625,26
1488,Karapakkam,728,1,1,2,0,House,NoSeWa,No Access,A,2939750,33
1489,Anna Nagar,1807,2,1,5,0,Others,ELO,No Access,RL,13003580,26
1490,Karapakkam,1333,2,2,4,0,Commercial,NoSeWa,No Access,RH,9718500,6
1491,Chrompet,1093,1,1,3,1,House,AllPub,Paved,RL,9491150,25
1492,Adyar,1191,1,1,3,0,Others,NoSeWa,Paved,C,7741945,23
1493,T Nagar,1984,2,1,5,1,Others,AllPub,Gravel,RL,16766120,5
1494,Karapakkam,888,1,1,2,1,House,NoSeWa,Gravel,I,6422750,33
1495,Chrompet,1100,1,1,3,1,Commercial,NoSeWa,Gravel,RM,14826000,24
1496,Chrompet,1294,2,1,4,1,Commercial,NoSeWa,Gravel,RH,15199400,20
1497,Velachery,1904,3,2,5,0,Others,ELO,Paved,RH,10058510,53
1498,Karapakkam,1045,1,1,3,1,Others,ELO,Paved,RM,8563875,18
1499,Karapakkam,1253,1,1,3,0,House,NoSeWa,Paved,I,6036750,7
1500,KK Nagar,1472,2,1,4,0,Commercial,NoSeWa,Gravel,RL,13185700,25
1501,Anna Nagar,1765,1,1,4,0,Commercial,AllPub,Gravel,RM,20325440,37
1502,T Nagar,1634,1,1,4,1,House,NoSeWa,Gravel,RM,13427670,31
1503,KK Nagar,1823,3,2,5,1,Commercial,AllPub,Gravel,RL,16142300,25
1504,KK Nagar,2404,4,2,6,1,Others,AllPub,Paved,RL,13526040,8
1505,Chrompet,985,1,1,3,0,House,AllPub,Gravel,RM,9573450,27
1506,Chrompet,826,1,1,3,1,House,AllPub,Paved,RM,9140400,20
1507,Chrompet,705,1,1,2,0,House,AllPub,Paved,RL,7495700,18
1508,Chrompet,987,1,1,3,0,House,NoSeWa,No Access,RL,7415850,11
1509,KK Nagar,1625,2,1,4,1,Others,NoSeWa,Paved,RH,10232060,28
1510,Velachery,1729,2,1,4,1,House,AllPub,No Access,A,7485650,15
1511,Anna Nagar,1791,1,1,4,1,Commercial,NoSeWa,Paved,RH,20234860,8
1512,Chrompet,1019,1,1,3,1,Others,AllPub,Gravel,RL,10315780,21
1513,Chrompet,1212,2,1,4,0,Commercial,NoSeWa,No Access,RH,12383200,28
1514,Adyar,1234,2,2,4,0,Others,AllPub,No Access,A,7415240,16
1515,Karapakkam,850,1,1,2,0,Others,ELO,No Access,A,3561750,8
1516,Adyar,662,1,1,2,1,Commercial,NoSeWa,Gravel,A,8848105,27
1517,Karapakkam,1555,2,2,4,0,Commercial,NoSeWa,No Access,A,8745500,38
1518,Anna Nagar,1711,1,1,4,1,House,ELO,No Access,RH,11216030,29
1519,Chrompet,1064,1,1,3,1,Commercial,AllPub,No Access,RM,13216400,36
1520,Chrompet,816,1,1,3,1,House,NoSeWa,No Access,RM,8227800,32
1521,Adyar,1252,2,2,4,1,House,ELO,No Access,I,8529780,12
1522,Velachery,1917,3,2,5,0,House,ELO,No Access,I,8027460,28
1523,Chrompet,1013,1,1,3,1,House,AllPub,Gravel,RM,10431150,17
1524,Chrompet,1080,1,1,3,0,House,NoSeWa,No Access,RM,8319100,14
1525,Karapakkam,627,1,1,2,0,Others,NoSeWa,No Access,RM,6231125,10
